"","","","1-12歲","","13-19歲","","20-29歲","","30-39歲","","40-49歲","","50-59歲","","60歲以上","",""
"","","","1-12Years","","13-19Years","","20-29Years","","30-39Years","","40-49Years","","50-59Years","","60Years and Over","",""
"年別","月份","居住地","男","女","男","女","男","女","男","女","男","女","男","女","男","女","小計"
"Years","Months","Residence","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Total"
"113","5","越南(Vietnam)","2294","2153","594","682","3998","4518","9204","8003","11782","11511","11020","10575","13341","12918","102593"
"113","5","泰國(Thailand)","1568","1511","733","849","6316","8242","9702","10466","7904","8634","5866","6858","6245","6527","81421"
"113","5","馬來西亞(Malaysia)","428","404","255","265","1201","1525","2098","2245","2136","2157","2075","2470","2711","3249","23219"
"113","5","新加坡(Singapore)","642","598","163","183","1368","2408","2717","3488","2555","2738","2218","2867","2713","3317","27975"
"113","5","菲律賓(Philippines)","400","339","140","144","1357","1685","2608","2311","2108","1574","1448","1124","1304","945","17487"
"113","5","非洲地區(Africa)","0","0","0","0","2","1","2","5","2","2","2","3","3","5","27"
"113","5","埃及(Egypt)","0","0","0","0","1","1","2","4","1","2","1","3","2","5","22"
"113","5","美洲地區(Americas)","594","577","308","266","2217","2471","3633","3912","3897","3491","4421","5677","9679","11817","52960"
"113","5","美國(USA)","506","481","272","228","1971","2097","3258","3364","3588","2967","3933","4698","7988","9637","44988"
"113","5","加拿大(Canada)","88","96","36","38","246","374","375","548","308","523","487","979","1691","2179","7968"
"113","5","大洋洲地區(Oceania)","259","238","185","166","766","1206","1143","1760","885","1292","772","1484","1485","2093","13734"
"113","5","澳洲(Australia)","186","160","150","143","639","1003","780","1252","643","970","563","1115","1032","1494","10130"
"113","5","紐西蘭(New Zealand)","58","71","17","7","76","121","202","327","129","211","144","304","388","555","2610"
"113","5","歐洲地區(Europe)","313","304","199","216","1064","1768","2622","3772","2213","3172","2488","4379","4238","5822","32570"
"113","5","比利時(Belgium)","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2"
"113","5","法國(France)","67","68","42","52","183","358","461","717","364","631","353","620","492","712","5120"
"113","5","德國(Germany)","66","64","65","49","279","354","678","775","695","729","728","1003","1097","1378","7960"
"113","5","義大利(Italy)","37","39","29","39","146","245","488","701","318","551","453","869","816","1237","5968"
